apparent_elevation,azimuth,elevation,zenith,latitude,longitude,timestamp
47.14630421548458,288.09412472231725,47.130692265826866,42.869307734173134,14.81334707079426,78.28666058707,2020-06-10 15:15:00
43.7005895624052,287.9171823386672,43.68298783458504,46.31701216541496,14.81334707079426,78.28666058707,2020-06-10 15:30:00
40.253071182304204,287.875259836911,40.233215027525915,49.766784972474085,14.81334707079426,78.28666058707,2020-06-10 15:45:00
36.806243254208724,287.94777706459,36.783793905927,53.216206094073,14.81334707079426,78.28666058707,2020-06-10 16:00:00
33.362290293808044,288.1198065057896,33.336805581933575,56.663194418066425,14.81334707079426,78.28666058707,2020-06-10 16:15:00
29.92323054654208,288.3805549804242,29.894119678176267,60.10588032182373,14.81334707079426,78.28666058707,2020-06-10 16:30:00
26.49103505120195,288.7223415794909,26.45748579889897,63.54251420110103,14.81334707079426,78.28666058707,2020-06-10 16:45:00
23.067745914402607,289.13989978795695,23.028601355992155,66.97139864400785,14.81334707079426,78.28666058707,2020-06-10 17:00:00
19.655630496952785,289.6298970977016,19.609167139399176,70.39083286060082,14.81334707079426,78.28666058707,2020-06-10 17:15:00
16.257438674924014,290.1906048067108,16.200934901060048,73.79906509893995,14.81334707079426,78.28666058707,2020-06-10 17:30:00
12.876941859266374,290.821674894553,12.805749510134735,77.19425048986527,14.81334707079426,78.28666058707,2020-06-10 17:45:00
9.520336437713839,291.5239952224213,9.425591341874522,80.57440865812548,14.81334707079426,78.28666058707,2020-06-10 18:00:00
6.200853340003873,292.29960448240087,6.0626198456583,83.9373801543417,14.81334707079426,78.28666058707,2020-06-10 18:15:00
2.9593052175383443,293.15165487689154,2.7192189951051655,87.28078100489483,14.81334707079426,78.28666058707,2020-06-10 18:30:00
-0.025532462966493585,294.08441379948465,-0.60195070951004,90.60195070951004,14.81334707079426,78.28666058707,2020-06-10 18:45:00
-3.897893052143243,295.10329933744924,-3.897893052143243,93.89789305214325,14.81334707079426,78.28666058707,2020-06-10 19:00:00
-7.1652088814220365,296.21494641822903,-7.1652088814220365,97.16520888142203,14.81334707079426,78.28666058707,2020-06-10 19:15:00
-10.400015769877681,297.4273001190032,-10.400015769877681,100.40001576987768,14.81334707079426,78.28666058707,2020-06-10 19:30:00
-13.597853198098637,298.7497337357808,-13.597853198098637,103.59785319809863,14.81334707079426,78.28666058707,2020-06-10 19:45:00
-16.753571488949984,300.1931885501083,-16.753571488949984,106.75357148894999,14.81334707079426,78.28666058707,2020-06-10 20:00:00
-19.861198554738024,301.77032837316176,-19.861198554738024,109.86119855473802,14.81334707079426,78.28666058707,2020-06-10 20:15:00
-22.913782348649388,303.49569904769146,-22.913782348649388,112.91378234864939,14.81334707079426,78.28666058707,2020-06-10 20:30:00
-25.903207016177856,305.3858764681039,-25.903207016177856,115.90320701617786,14.81334707079426,78.28666058707,2020-06-10 20:45:00
-28.81997796389197,307.45957369845974,-28.81997796389197,118.81997796389197,14.81334707079426,78.28666058707,2020-06-10 21:00:00
-31.652977067715696,309.7376631273521,-31.652977067715696,121.6529770677157,14.81334707079426,78.28666058707,2020-06-10 21:15:00
-34.389193260370014,312.2430468632876,-34.389193260370014,124.38919326037,14.81334707079426,78.28666058707,2020-06-10 21:30:00
-37.01343774732262,315.0002749943724,-37.01343774732262,127.01343774732263,14.81334707079426,78.28666058707,2020-06-10 21:45:00
-39.50806889160443,318.03477648409375,-39.50806889160443,129.50806889160444,14.81334707079426,78.28666058707,2020-06-10 22:00:00
-41.85276988279334,321.37153176455956,-41.85276988279334,131.85276988279332,14.81334707079426,78.28666058707,2020-06-10 22:15:00
-44.024444501015935,325.0329936462562,-44.024444501015935,134.02444450101592,14.81334707079426,78.28666058707,2020-06-10 22:30:00
-45.99732985260938,329.0360971159513,-45.99732985260938,135.99732985260937,14.81334707079426,78.28666058707,2020-06-10 22:45:00
-47.74345215579522,333.38832953737676,-47.74345215579522,137.7434521557952,14.81334707079426,78.28666058707,2020-06-10 23:00:00
-49.23355797480494,338.08310998377397,-49.23355797480494,139.23355797480494,14.81334707079426,78.28666058707,2020-06-10 23:15:00
-50.43862046611028,343.09517888576056,-50.43862046611028,140.43862046611028,14.81334707079426,78.28666058707,2020-06-10 23:30:00
-51.3319126434375,348.3772177583538,-51.3319126434375,141.3319126434375,14.81334707079426,78.28666058707,2020-06-10 23:45:00
-51.891454881831834,353.8592296766857,-51.891454881831834,141.89145488183183,14.81334707079426,78.28666058707,2020-06-11 00:00:00
-52.10243212292518,359.4519529690194,-52.10243212292518,142.10243212292517,14.81334707079426,78.28666058707,2020-06-11 00:15:00
-51.95903536018109,5.054519411697186,-51.95903536018109,141.95903536018108,14.81334707079426,78.28666058707,2020-06-11 00:30:00
-51.46523099183755,10.564993857880722,-51.46523099183755,141.46523099183756,14.81334707079426,78.28666058707,2020-06-11 00:45:00
-50.6342328378765,15.891190635031705,-50.6342328378765,140.6342328378765,14.81334707079426,78.28666058707,2020-06-11 01:00:00
-49.48683234731631,20.959035728436902,-49.48683234731631,139.4868323473163,14.81334707079426,78.28666058707,2020-06-11 01:15:00
-48.04904746526574,25.71681897182333,-48.04904746526574,138.04904746526574,14.81334707079426,78.28666058707,2020-06-11 01:30:00
-46.34964353151761,30.135267670254507,-46.34964353151761,136.34964353151761,14.81334707079426,78.28666058707,2020-06-11 01:45:00
-44.41796706868933,34.204572890564805,-44.41796706868933,134.41796706868934,14.81334707079426,78.28666058707,2020-06-11 02:00:00
-42.28232613766995,37.92990477223975,-42.28232613766995,132.28232613766994,14.81334707079426,78.28666058707,2020-06-11 02:15:00
-39.968954866878484,41.32672378174095,-39.968954866878484,129.96895486687848,14.81334707079426,78.28666058707,2020-06-11 02:30:00
-37.501476856990145,44.41668827425826,-37.501476856990145,127.50147685699014,14.81334707079426,78.28666058707,2020-06-11 02:45:00
-34.9007375084404,47.224480701001994,-34.9007375084404,124.9007375084404,14.81334707079426,78.28666058707,2020-06-11 03:00:00
-32.18487539871235,49.77556472876205,-32.18487539871235,122.18487539871235,14.81334707079426,78.28666058707,2020-06-11 03:15:00
-29.369527994687708,52.09472929458968,-29.369527994687708,119.3695279946877,14.81334707079426,78.28666058707,2020-06-11 03:30:00
-26.468100853530675,54.20522693513806,-26.468100853530675,116.46810085353067,14.81334707079426,78.28666058707,2020-06-11 03:45:00
-23.492052903671766,56.12832976972629,-23.492052903671766,113.49205290367176,14.81334707079426,78.28666058707,2020-06-11 04:00:00
-20.4511697854233,57.88316056150637,-20.4511697854233,110.4511697854233,14.81334707079426,78.28666058707,2020-06-11 04:15:00
-17.353814080316226,59.48669173291006,-17.353814080316226,107.35381408031623,14.81334707079426,78.28666058707,2020-06-11 04:30:00
-14.207146061967112,60.9538402437567,-14.207146061967112,104.20714606196711,14.81334707079426,78.28666058707,2020-06-11 04:45:00
